batch,batchName,wavelength,strain,drug,mic,blankMean,controlMean,curveFlag,replicateCount
0604,0604 OD630,OD630,1803251139,ATM,>64,0.0730,0.7452,noisy,3
0604,0604 OD630,OD630,1803251139,CRO,>64,0.0730,0.7452,noisy,3
0604,0604 OD630,OD630,1803251139,MEM,>16,0.0730,0.7452,ok,3
0604,0604 OD630,OD630,1803251139,LVX,>8,0.0730,0.7452,ok,3
0604,0604 OD630,OD630,1803251139,AMK,>64,0.0730,0.7452,ok,3
0604,0604 OD630,OD630,1803251139,POL,4,0.0730,0.7452,ok,3
0604,0604 OD630,OD630,1803251139,TGC,2,0.0730,0.7452,ok,3
0604,0604 OD630,OD630,1803251139,SXT,>16/304,0.0648,0.7785,ok,3
0604,0604 OD630,OD630,1803251139,CAZ-AVI,32/4,0.0648,0.7785,noisy,3
0604,0604 OD630,OD630,1803251139,ATM-AVI,64/4,0.0648,0.7785,ok,3
0604,0604 OD630,OD630,1804121299,ATM,>64,0.0730,0.6497,noisy,3
0604,0604 OD630,OD630,1804121299,CRO,>64,0.0730,0.6497,noisy,3
0604,0604 OD630,OD630,1804121299,MEM,>16,0.0730,0.6497,noisy,3
0604,0604 OD630,OD630,1804121299,LVX,>8,0.0730,0.6497,noisy,3
0604,0604 OD630,OD630,1804121299,AMK,>64,0.0730,0.6497,noisy,3
0604,0604 OD630,OD630,1804121299,POL,4,0.0730,0.6497,ok,3
0604,0604 OD630,OD630,1804121299,TGC,4,0.0730,0.6497,ok,3
0604,0604 OD630,OD630,1804121299,SXT,>16/304,0.0638,0.6406,noisy,3
0604,0604 OD630,OD630,1804121299,CAZ-AVI,128/4,0.0638,0.6406,ok,3
0604,0604 OD630,OD630,1804121299,ATM-AVI,>64/4,0.0638,0.6406,ok,3
0604,0604 OD630,OD630,1807101274,ATM,>64,0.0674,0.5064,noisy,3
0604,0604 OD630,OD630,1807101274,CRO,>64,0.0674,0.5064,noisy,3
0604,0604 OD630,OD630,1807101274,MEM,>16,0.0674,0.5064,noisy,3
0604,0604 OD630,OD630,1807101274,LVX,>8,0.0674,0.5064,noisy,3
0604,0604 OD630,OD630,1807101274,AMK,>64,0.0674,0.5064,noisy,3
0604,0604 OD630,OD630,1807101274,POL,4,0.0674,0.5064,noisy,3
0604,0604 OD630,OD630,1807101274,TGC,8,0.0674,0.5064,ok,3
0604,0604 OD630,OD630,1807101274,SXT,>16/304,0.0707,0.5078,ok,3
0604,0604 OD630,OD630,1807101274,CAZ-AVI,32/4,0.0707,0.5078,ok,3
0604,0604 OD630,OD630,1807101274,ATM-AVI,>64/4,0.0707,0.5078,noisy,3
0604,0604 OD630,OD630,1812291089,ATM,>64,0.0674,0.5439,noisy,3
0604,0604 OD630,OD630,1812291089,CRO,>64,0.0674,0.5439,noisy,3
0604,0604 OD630,OD630,1812291089,MEM,>16,0.0674,0.5439,noisy,3
0604,0604 OD630,OD630,1812291089,LVX,>8,0.0674,0.5439,noisy,3
0604,0604 OD630,OD630,1812291089,AMK,>64,0.0674,0.5439,noisy,3
0604,0604 OD630,OD630,1812291089,POL,1,0.0674,0.5439,noisy,3
0604,0604 OD630,OD630,1812291089,TGC,2,0.0674,0.5439,ok,3
0604,0604 OD630,OD630,1812291089,SXT,>16/304,0.0680,0.6138,ok,3
0604,0604 OD630,OD630,1812291089,CAZ-AVI,32/4,0.0680,0.6138,ok,3
0604,0604 OD630,OD630,1812291089,ATM-AVI,>64/4,0.0680,0.6138,ok,3
